dataset_location,latitude,longitude,altitude,mat_degc,map_mm
Korner_et_al_86_Haast_Valley_NZ,-43.75,169.37,50,9.53,5302.44
Kudo_Cornelissen_Abisko,68,19.5,400,-2.33,445.78
Kudo_Cornelissen_Latnjajaure,69,18,900,-3.07,977.52
Kudo_Cornelissen_Svalbard,78.5,11.8,100,-6.83,504.61
Kuppers_Bayreuth,49.7,12,435,7.15,652.22
Lal_etal_Inceptisol,25.3,83.02,76,25.94,1010.92
Lal_etal_Ultisol,26.5,83,355,25.6,1081.19
Lee_Cedar_Creek2,45.41,-93.21,300,6.32,729.74
Lusk_saplings_Cordillera_Pelada,-39.8,-73,870,10.63,2795
Lusk_saplings_Cordillera_Pelada,-39.8,-73,1000,10.63,2795
Lusk_saplings_Cordillera_Pelada,-39.8,-73,400,10.63,2795
Lusk-adults_ConcepciÌ_n,-36.84,-73.03,30,12.88,1308
Lusk-adults_Los Lleuques,-37,-71.47,1000,6.6,1308
Lusk-adults_Puyehue,-39.8,-73,400,10.63,3200
Martin_etal_Guanacaste,10,-84.5,45,23.78,2219.92
McAllister_Konza,39.2,-96.58,325,12.58,853.78
Mediavilla_et_al_Salamanca,41,-5.7,900,11.82,513.09
MidgelySA_Alexandria,-33.75,26.5,100,18.37,693.54
MidgelySA_Amatolas,-32.5,27.17,1000,12.9,1024
MidgelySA_Dukuduku,-32,28.5,50,18.97,1250
MidgelySA_Jonkershoek_Mtn,-33.5,19,600,14.88,2500
MidgelySA_Jonkershoek_Rip,-33.5,19,350,14.88,1600
MidgelySA_Knysna,-33.97,23.05,300,15.01,869.8
MidgelySA_Mapelane,-32,28.5,100,18.97,989.14
MidgelySA_Sand_Forest,-32.5,27.5,100,17.67,766.91
MidgelySA_Umtiza,-33.03,27.78,200,18.92,789.87
Miyazawa_Chiba_M,35.72,140.8,20,14.74,1790.39
Mooney_etal_81_desert,36.46,-116.86,-59,18.62,133.36
Mooney_etal_81_old-field,40.1,-88.23,226,10.73,981.59
Mooney_etal83_Jonk_Mtn,-33.83,18.83,600,16.96,2500
Mulkey9193_BCI_Panama,9.16,-79.85,20,25.91,2892.88
Nelson_etal_Texas,27.73,-98,82,22.1,732.57
Niinemets_Kull94_Estonia,58.25,26.67,20,4.75,589.08
Niinemets_Kull98_Tartu,58.5,25,60,5.27,652.83
Nitta_Chiba_N,35,139,300,13.9,2288
Olivares_Caracas_Venezuela,10.5,-66.88,915,23.08,1026.59
Osada_Thomas_Pasoh,2.98,102.3,100,25.53,1875.2
Poorter_de_Jong_Along_ditch,52.1,5.09,2,9.26,801.79
Poorter_de_Jong_Poor_hay_meadow,52.1,5.09,2,9.26,801.79
Poorter_de_Jong_Quaking_Fen,52.1,5.09,2,9.26,801.79
Poorter_de_Jong_Reed_marsh,52.1,5.09,2,9.26,801.79
Poorter_de_Jong_Chalk_grassland,51.45,5.4,20,9.83,804.24
Poorter_de_Jong_Dry_heath,51.45,5.4,20,9.83,804.24
Poorter_de_Jong_Dry_open_grassland,51.45,5.4,20,9.83,804.24
Poorter_de_Jong_Wet_heath,51.45,5.4,20,9.83,804.24
Prado&DeMoraes1997_SAO_CARLOS,-22,-47.9,710,20.23,1470.44
Prior_woodland,-12.5,130.5,30,27.31,1575.09
Prior_open forest,-12.5,130.5,30,27.31,1575.09
Prior_swamp,-12.5,130.5,30,27.31,1575.09
Prior_dry monsoon forest,-12.5,130.5,30,27.31,1575.09
Pyankov_Tadjikistan_Tadjikistan_high,37.5,75.5,3860,-2.22,164.14
Pyankov_Tadjikistan_Tadjikistan_higher,38,74.5,4300,-4.41,243.11
Pyankov_Tadjikistan_Tadjikistan_highest,38.5,75,4750,-5.27,224.78
Pyankov_Urals_Yekaterinburg,56.5,61.5,260,2.38,470.04
Reichetal_Colorado,40.05,-105.6,3360,-1.5,959
Reichetal_N_Carolina,35.5,-83.5,775,11.57,1740.4
Reichetal_New_Mexico,34,-107,1620,13.48,272.09
Reichetal_S_Carolina,33.33,-79.22,3,18.17,1295.14
Reichetal_Venezuela,1.93,-67.05,120,25.99,3171.35
Reichetal_Wisconsin,42.5,-90,275,8.23,908.75
Ricklefs_SE_Ontario,44.57,-76.32,167,6.06,882.78
Schulze_Kapalga,-12.68,132.38,10,27.48,1370.25
Schulze_Katherine,-14.3,132.08,103,26.73,1079.39
Schulze_Kidman Springs,-16.12,130.92,88,27.08,719.6
Schulze_Melville Island,-11.77,130.87,5,27.28,1748.58
Schulze_Mt_Sanford,-18,130.5,200,26.17,493.74
Shipley_Sherbrooke,45.4,-71.8,170,4.53,1109.81
Small1972_OTTAWA,45.32,-75.59,116,5.46,898.28
Sobrado_Charallave,11,-67.5,400,24.62,916.82
Sobrado&Medina_SanCarlos_bana,1.93,-67.05,120,25.99,3171.35
Specht_Rundel_Dark_Island_heath,-36.1,140.52,40,14.99,467.14
Specht_Rundel_Dark_Island_mallee,-36.1,140.52,40,14.99,467.14
Specht_Rundel_Mt_Lofty,-34.98,138.67,725,12,1193.4
Tan_et_al_adinandra_trema_belukar,1.37,103.9,18,26.68,2146.37
Terashima_Nepal,28.5,87,4250,-2.78,1015.46
Tezara_etal98_Coro,11.42,-69.6,20,26.82,494.62
Tjoelker_Cedar_Creek,45.41,-93.21,300,6.32,729.74
Turner_&_Tan_Mangroves,1.37,103.9,18,26.68,2146.37
Turner_&_Tan_Beach_forest,1.37,103.9,18,26.68,2146.37
Turner_&_Tan_Adinandra_Belukar,1.37,103.9,18,26.68,2146.37
Turner_&_Tan_Undegraded_secondary_forest,1.37,103.9,18,26.68,2146.37
Veneklaas_W_Australia,-31.5,115.5,15,18.25,690.02
Villar_Canary_Is_lauriphyll,28,-17,16,16.64,394.39
Villar_Canary_Is_xeric,28,-17,16,16.64,394.39
Villar_California_forest,36.5,-122,150,12.33,1019.78
Villar_California_chaparral,37.4,-122.25,150,14.05,635.57
Villar_Tierra_del_Fuego,-55,-70,16,4.33,787.1
Villar_Chihuahua,28,-106,1435,18.16,348.75
Villar_N_Carolina_forest,35,-80,775,15.9,1205.91
Villar_Toronto,44,-80,116,6.76,792.17
Villar_Devon_Is_Canada,75,-84,368,-16.12,168.12
Villar_AndalucÌ_a_xeric,37,-6,8,17.17,608.79
Villar_AndalucÌ_a_mesic,37,-6,8,17.17,608.79
"Villar_Douala-Edea Forest, Cameroon",4,9.69,10,26.5,2730.58
"Villar_Kibale Forest, Uganda",0,32,1155,21.68,1329.37
Williams et al_LosTuxtlas2,18,-93.5,340,24.6,4725
Williams_Linera_Mexico,20,-97.5,1389,15.77,1837.11
Wright_Oz_syd_hiP,-33.86,151.21,39,17.52,1148.2
Wright_Oz_syd_loP,-33.86,151.21,39,17.52,1148.2
Wright_Oz_wnsw_hiP,-33.84,145.88,223,17.1,411.81
Wright_Oz_wnsw_loP,-33.84,145.88,223,17.1,411.81
Zotz_Fortuna_Panama,9,-82,1100,22.56,2875.2
OleksynPol_Siemanice,51.15,18.06,150,8.44,564.51
Kudo96_high,43.72,142.87,1800,-2.37,1113.41
Kudo96_low,42.97,141.38,700,4.33,1362.27
Hogan_etal_PNM_crane,8.97,-79.53,30,26.27,1656.69
Tuohy_etal_Zimbabwe_CHID,-21.5,31,500,21.81,498.46
Tuohy_etal_Zimbabwe_CRST_MCLW,-17.87,30.9,1600,18.85,839.83
Tuohy_etal_Zimbabwe_MAT,-19.5,29,1300,18.92,622.64
Lamont_S_Africa_1_Citrusdal,-33.5,20,400,15.46,395.71
Lamont_S_Africa_2_Stellenbosch,-33.95,18.83,70,16.96,595.54
Lamont_S_Africa_3_Opdieberg,-32,19,100,16.59,369.29
Lamont_S_Africa_4_Matjies_River,-32,21,875,13.72,239.71
Lamont_S_Africa_5_Algeria,-32.4,19.12,1225,11.3,720
Lamont_S_Africa_6_Scarborough,-33.5,18.5,102,16.96,595.54
Lamont_S_Africa_7_Hopefield,-32.5,18.5,102,17.98,384.87
Lamont_S_Africa_9_Jonkershonk,-34,18.92,900,12.9,1200
Lamont_S_Africa_10_Kylemore,-34,18,500,15.55,714.38
Lamont_S_Africa_11_Soetanysberg,-33,18.5,50,17.9,436.59
Lamont_S_Africa_12_Salmonsdam,-33,19,488,15.02,828.16
Lamont_S_Africa_13_Salmonsdam,-34.43,19.58,230,16.12,557.65
Lamont_S_Africa_14_Herrmanus,-34.38,19.23,369,16.13,698.73
Lamont_WA_Darling_Scarp,-31.98,116.07,210,17.23,1100
Lamont_WA_Eneabba,-29.82,115.27,100,18.49,479.22
Lamont_WA_Esperance,-33.87,121.88,25,16.53,555.11
Lamont_WA_Fitzgerald_River,-34.07,119.43,286,16.04,573.58
Lamont_WA_Kalbarri,-27.72,114.17,6,20.59,369.12
Lamont_WA_Lake_King,-33.1,119.68,310,16.32,365.18
Lamont_WA_Merridin_etc,-31.5,118.22,318,17.48,304.36
Lamont_WA_Millbrook,-35.03,117.88,68,15.28,830.68
Lamont_WA_Stirling_Ranges,-34.52,118.22,300,15.48,680.68
Lamont_WA_Walpole,-34.98,116.73,18,14.54,793.96
Lamont_WA_Watheroo,-30.12,115.92,0,18.07,497.34
Chapin_etc_Toolik_Lake,67.5,-152.5,760,-8.8,318
Marin_Medina_Piritu_Venezuela,10.5,-65.5,43,25.72,506
Lee_NZ_Murchison_Mtns,-45.28,168,1150,5.47,2224.7
MitchellNC_Coweeta,35.05,-83.42,850,11.57,1740.4
