dataset_location,latitude,longitude,altitude,mat_degc,map_mm
Ackerly_Jasper,37.4,-122.25,150,14.6,652
Baruch&Goldstein_Hawaii_High_Old,20,-155.5,2000,12,3000
Baruch&Goldstein_Hawaii_High_Rec,20,-155.5,2000,12,3000
Baruch&Goldstein_Hawaii_Low_Old,19.43,-155.26,300,22.38,2182.08
Baruch&Goldstein_Hawaii_Med_Old,20,-155.5,1100,18.64,3300
Baruch&Goldstein_Hawaii_Med_Rec,20,-155.5,1100,18.64,3300
Bassow&Bazzaz_PETERSHAM__MA,42.53,-72.18,340,7.3,1101
Bongers_et_al_Los_Tuxtlas,18,-93.5,340,24.6,4725
Cavendar_Bares_Florida,29.63,-82.36,29,20.53,1357.63
Christodoulakis_Malakasa,37.97,23.7,400,16.68,634.57
Chua_et_al_Malaysia,4,102,440,25.18,2688.02
Coley_BCI,9.16,-79.85,50,26.2,2606
Cornelissen_UK_Sheffield,53.4,-1.5,100,8.68,773.26
DeLucia91Ecol_RENO__NEVADA,39.3,-119.63,1932,7.26,536.04
DeLucia95_Okefenokee_Swamp,30.73,-82.13,36,19.47,1303.13
Diemer_Korner_Austria_high,47,10,2960,-2.03,2165.04
Diemer_Korner_Austria_low,47.8,11,600,7.63,1024.41
Diemer-Ecuador_lowest,-0.6,-78.59,3400,8.7,1039.97
Diemer-Ecuador_low,-0.6,-78.59,4050,8.1,1039.97
Diemer-Ecuador_high,-0.6,-78.59,4500,6.7,1039.97
Diemer-Ecuador_highest,-0.6,-78.59,4850,5.2,1039.97
Field_et_al_83_Jasper_Ridge,37.4,-122.25,150,14.6,652
Franco&Luttge_Brasilia,-15.8,-47.9,1100,21.94,1534.55
Garnier_etal_F/CR,43.63,3.87,63,12.89,772.45
Garnier_etal_Les_Agros,43.42,6.58,425,14.31,1010
Garnier_etal_SM/C,43.72,3.37,285,11.66,1148
Gulias_BinifaldÌ_,39.6,2.5,495,13.6,1265
Gulias_Puigpunyent,39.7,3.3,265,16.3,751
Gulias_SÌ_ller,40,4,40,16.8,857
Gulias_UIB,39,1.3,130,16.8,514
Hikosaka-Japan_Chiba_Japan,35,139,300,13.9,2288
Hikosaka-Malaysia_Mt_Kinabalu_low,6,116.17,600,23.4,2842
Hikosaka-Malaysia_Mt_Kinabalu_med,6,116.17,1700,18.5,2842
Hikosaka-Malaysia_Mt_Kinabalu_high,6,116.17,3100,10.8,2842
Hikosaka-Malaysia_Mt_Kinabalu_highest,6,116.17,3700,7.5,2842
Jayasekara_Sri_Lanka,6.97,80.7,1880,15.2,2234
Jose_Gillespie_Indiana,39.17,-86.5,250,11.3,1048.91
Jurik86_Pellston_MI,45.56,-84.78,217,5.17,810.82
Kitajima_Panama,8.97,-79.53,30,26.27,1656.69
Koike_SAPPORO__JAPAN,43,141.6,100,6.77,1216.48
