species,lma,wsg,height,at,count,dbh.gr,ba.gr
Acalypha diversifolia,41.6,0.501,6.3,10,1101,8.54267948793072,394.975351072891
Acalypha diversifolia,41.6,0.501,6.3,20,1101,6.70716570629925,395.328248846624
Acalypha diversifolia,41.6,0.501,6.3,30,1097,6.62885489030483,516.498298774994
Acalypha diversifolia,41.6,0.501,6.3,40,868,6.63654276060914,592.860639094114
Acalypha diversifolia,41.6,0.501,6.3,50,638,6.52643730336767,688.014377581954
Acalypha diversifolia,41.6,0.501,6.3,60,488,5.0996571926849,583.072332535537
Acalypha diversifolia,41.6,0.501,6.3,80,284,3.38860116791454,461.16886801499
Acalypha diversifolia,41.6,0.501,6.3,100,135,2.98831363441966,484.47757863356
Adelia triloba,37.6,0.648,13.2,10,127,3.37459239130435,98.0647506547812
Adelia triloba,37.6,0.648,13.2,20,127,5.98242965778962,384.55129232536
Adelia triloba,37.6,0.648,13.2,30,179,4.949675294839,363.275530257219
Adelia triloba,37.6,0.648,13.2,40,214,4.58053483956372,383.16468039944
Adelia triloba,37.6,0.648,13.2,50,220,5.6957767956474,587.420019642486
Adelia triloba,37.6,0.648,13.2,60,248,4.42501431910705,571.12222832622
Adelia triloba,37.6,0.648,13.2,80,309,4.53806422620937,749.366043295448
Adelia triloba,37.6,0.648,13.2,100,353,4.97847031017737,926.725962039273
Adelia triloba,37.6,0.648,13.2,120,345,4.65954304064715,1046.10491429978
Alchornea costaricensis,61.2,0.393,19.2,10,73,10.5206036666793,558.403841239248
Alchornea costaricensis,61.2,0.393,19.2,20,73,10.6477319017568,831.202549921398
Alchornea costaricensis,61.2,0.393,19.2,30,98,11.4198184175173,1059.97253037933
Alchornea costaricensis,61.2,0.393,19.2,40,142,10.1356347103045,1141.00910545326
Alchornea costaricensis,61.2,0.393,19.2,50,167,10.7420391281486,1331.07066827807
Alchornea costaricensis,61.2,0.393,19.2,60,205,10.2632393989951,1412.64750498732
Alchornea costaricensis,61.2,0.393,19.2,80,251,11.7067881122625,2195.25070870658
Alchornea costaricensis,61.2,0.393,19.2,100,305,12.2693306417589,2761.91676881435
Alchornea costaricensis,61.2,0.393,19.2,120,343,12.9594865857129,3371.37747734314
Alibertia edulis,60.4,0.788,10.1,10,1029,1.79926108374384,31.8877793877092
Alibertia edulis,60.4,0.788,10.1,20,1029,2.4843782076552,115.978068798389
Alibertia edulis,60.4,0.788,10.1,30,892,2.70074024039272,164.711404153945
Alibertia edulis,60.4,0.788,10.1,40,674,2.5963478124976,188.65528519715
Alibertia edulis,60.4,0.788,10.1,50,489,2.17012237643655,187.888531086444
Alibertia edulis,60.4,0.788,10.1,60,376,1.67514801989658,162.977987413151
Alibertia edulis,60.4,0.788,10.1,80,218,1.09164978489615,141.090901541711
Alibertia edulis,60.4,0.788,10.1,100,131,0.574713010330658,117.662251937529
Alibertia edulis,60.4,0.788,10.1,120,65,0.266535496653216,100.028797774295
Alseis blackiana,39.6,0.578,28.6,10,19543,5.55376252840477,177.8030935412
Alseis blackiana,39.6,0.578,28.6,20,19543,6.60568734912651,398.077091098405
Alseis blackiana,39.6,0.578,28.6,30,14922,7.15998493379644,598.688740275702
Alseis blackiana,39.6,0.578,28.6,40,11381,7.58181346033431,779.574762738337
Alseis blackiana,39.6,0.578,28.6,50,8972,8.26752726742835,989.439586116475
Alseis blackiana,39.6,0.578,28.6,60,7549,8.6272166401623,1290.84025632166
Alseis blackiana,39.6,0.578,28.6,80,5824,9.38468279920033,1676.82283769706
Alseis blackiana,39.6,0.578,28.6,100,4908,9.74737166947659,2110.14578204846
Alseis blackiana,39.6,0.578,28.6,120,4184,9.81993322508199,2510.92072172999
Andira inermis,45.2,0.683,20.8,10,551,1.80526676163728,31.4742990765173
Andira inermis,45.2,0.683,20.8,20,551,1.78618058424279,75.9023533488921
Andira inermis,45.2,0.683,20.8,30,625,2.25466884049581,141.920851202728
Andira inermis,45.2,0.683,20.8,40,610,2.63472665606302,203.053823055531
Andira inermis,45.2,0.683,20.8,50,603,2.89753828569477,285.130747565204
Andira inermis,45.2,0.683,20.8,60,563,3.10498244991911,347.277307456095
Andira inermis,45.2,0.683,20.8,80,453,2.77057100599521,404.21049315845
Andira inermis,45.2,0.683,20.8,100,366,2.80617384336555,472.961687723305
Andira inermis,45.2,0.683,20.8,120,300,4.12822343088848,671.565317147562
Annona acuminata,53,0.645,8.4,10,1480,2.6548333177395,63.5414532536021
Annona acuminata,53,0.645,8.4,20,1480,2.85702148439196,120.145982060561
Annona acuminata,53,0.645,8.4,30,1183,2.46004998021672,139.826183185248
Annona acuminata,53,0.645,8.4,40,832,2.07403218694963,148.513718165497
Annona acuminata,53,0.645,8.4,50,604,1.70536552701546,150.681088616447
Annona acuminata,53,0.645,8.4,60,428,1.21885428253615,120.618025284079
Annona acuminata,53,0.645,8.4,80,186,1.78050918885793,213.467798342144
Annona acuminata,53,0.645,8.4,100,65,-0.013014032966062,56.8860914151907
Apeiba membranacea,24.4,0.321,28.4,10,52,11.9819573537452,752.848583963043
Apeiba membranacea,24.4,0.321,28.4,20,52,14.8945888246282,1360.85619322006
Apeiba membranacea,24.4,0.321,28.4,30,75,10.9903893405432,961.591412989839
Apeiba membranacea,24.4,0.321,28.4,40,122,11.8763987585629,1520.23774130513
Apeiba membranacea,24.4,0.321,28.4,50,170,9.44500565148005,1150.63081896655
Apeiba membranacea,24.4,0.321,28.4,60,224,9.98842011383072,1320.54704100565
Apeiba membranacea,24.4,0.321,28.4,80,353,9.1065229686359,1685.73134281357
Apeiba membranacea,24.4,0.321,28.4,100,430,9.73423775792998,2147.9719968574
Apeiba membranacea,24.4,0.321,28.4,120,475,10.9574744412983,2904.06177862561
Aspidosperma spruceanum,92.7,0.77,38.6,10,1173,1.24207096064685,18.3201688829106
Aspidosperma spruceanum,92.7,0.77,38.6,20,1173,2.02563091303458,94.9602083697933
Aspidosperma spruceanum,92.7,0.77,38.6,30,1003,2.46328982731118,168.635618538601
Aspidosperma spruceanum,92.7,0.77,38.6,40,849,3.3873029860697,290.255646118527
Aspidosperma spruceanum,92.7,0.77,38.6,50,699,3.96031624462753,419.058886581798
Aspidosperma spruceanum,92.7,0.77,38.6,60,547,4.48170429028266,607.941246397272
Aspidosperma spruceanum,92.7,0.77,38.6,80,392,6.00123339343802,1118.00063935471
Aspidosperma spruceanum,92.7,0.77,38.6,100,290,7.4926944217006,1454.45419513352
Aspidosperma spruceanum,92.7,0.77,38.6,120,216,8.93159526815257,2513.64667496863
Astronium graveolens,35.1,0.808,34.8,10,109,1.38427179209529,24.4141854622055
Astronium graveolens,35.1,0.808,34.8,20,109,5.52023579011383,301.431654062068
Astronium graveolens,35.1,0.808,34.8,30,87,6.54083772513139,493.991470379377
Astronium graveolens,35.1,0.808,34.8,40,75,7.79804034157785,909.654520977408
Astronium graveolens,35.1,0.808,34.8,50,68,7.87663383220874,977.52788558087
