species,lma,wsg,height,at,count,dbh.gr,ba.gr
Acalypha diversifolia,41.6,0.501,6.3,10,1101,8.99154287441923,401.102328904491
Acalypha diversifolia,41.6,0.501,6.3,20,1101,7.6455615890113,471.539533898494
Acalypha diversifolia,41.6,0.501,6.3,30,1097,7.68856153848698,632.435955179465
Acalypha diversifolia,41.6,0.501,6.3,40,868,7.81597076616956,774.961636428279
Acalypha diversifolia,41.6,0.501,6.3,50,638,8.22653922774055,907.256557068553
Acalypha diversifolia,41.6,0.501,6.3,60,488,8.77875750067222,1059.64790262521
Acalypha diversifolia,41.6,0.501,6.3,80,284,10.7922884056167,1531.08532503257
Acalypha diversifolia,41.6,0.501,6.3,100,135,4.99855477494509,755.024018213127
Adelia triloba,37.6,0.648,13.2,10,127,4.40113089405178,98.0647506547812
Adelia triloba,37.6,0.648,13.2,20,127,14.6537411124176,1151.32970233897
Adelia triloba,37.6,0.648,13.2,30,179,19.7880818468538,3004.80965767024
Adelia triloba,37.6,0.648,13.2,40,214,13.4123333401235,1581.68533740618
Adelia triloba,37.6,0.648,13.2,50,220,12.0284909403363,1531.66716815792
Adelia triloba,37.6,0.648,13.2,60,248,7.4373359693331,942.863441076683
Adelia triloba,37.6,0.648,13.2,80,309,6.89075514670309,1098.92635067156
Adelia triloba,37.6,0.648,13.2,100,353,7.48381625628476,1640.49471272145
Adelia triloba,37.6,0.648,13.2,120,345,7.1896611889012,1572.35754790241
Alibertia edulis,60.4,0.788,10.1,10,1029,2.23868799926422,44.1293723275951
Alibertia edulis,60.4,0.788,10.1,20,1029,2.90625954032378,148.412106112652
Alibertia edulis,60.4,0.788,10.1,30,892,3.10864533646056,199.877010673632
Alibertia edulis,60.4,0.788,10.1,40,674,3.32164684151216,253.467625539647
Alibertia edulis,60.4,0.788,10.1,50,489,2.82134093470241,249.761437431862
Alibertia edulis,60.4,0.788,10.1,60,376,2.37975133628309,244.57075224416
Alibertia edulis,60.4,0.788,10.1,80,218,1.59182868360196,223.608019209095
Alibertia edulis,60.4,0.788,10.1,100,131,0.599955388592898,83.4962161060632
Alibertia edulis,60.4,0.788,10.1,120,65,-0.044677118136363,24.6921214042393
Alseis blackiana,39.6,0.578,28.6,10,19543,2.7746082993432,54.0864518716413
Alseis blackiana,39.6,0.578,28.6,20,19543,3.86488796911737,201.685776150735
Alseis blackiana,39.6,0.578,28.6,30,14922,4.56530848091514,319.219766447394
Alseis blackiana,39.6,0.578,28.6,40,11381,5.16662711562531,483.333590371908
Alseis blackiana,39.6,0.578,28.6,50,8972,5.69886332746147,658.380779692485
Alseis blackiana,39.6,0.578,28.6,60,7549,6.62875673170112,947.872646232888
Alseis blackiana,39.6,0.578,28.6,80,5824,7.40120022155301,1373.76987662163
Alseis blackiana,39.6,0.578,28.6,100,4908,8.13354754604063,1814.78175374816
Alseis blackiana,39.6,0.578,28.6,120,4184,8.63476408813418,2257.9301134643
Andira inermis,45.2,0.683,20.8,10,551,3.5031621285354,91.3327251771145
Andira inermis,45.2,0.683,20.8,20,551,3.13845617596296,139.970068756522
Andira inermis,45.2,0.683,20.8,30,625,3.07364305838387,235.763060643423
Andira inermis,45.2,0.683,20.8,40,610,3.64478317990177,357.117281339531
Andira inermis,45.2,0.683,20.8,50,603,4.10215211913843,432.876800019967
Andira inermis,45.2,0.683,20.8,60,563,4.32755555554765,532.206247268094
